Stop thinking about your math test and BREATHE,,,
Your grades do not define you,,,
"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship. ~ Buddha #BuddhaQuotes #buddha #health",,,
"I was sad because I had no shoes, until I met a man who had no feet. ~ Chinese Proverb",,,
Dont let the mind bully your body into believing it must carry the burden of its worries. ~ Astrid Alauda,,,
The greatest griefs are those we cause ourselves. ~ Sophocles,,,
Your mind will answer most questions if you learn to relax. ~ William S. Burroughs,,,
No one can make you feel inferior without your consent. ~ Eleanor Roosevelt,,,
"Fear can keep us up all night long, but faith makes one fine pillow. ~ Philip Gulley",,,
"If you look into your own heart, and you find nothing wrong there, what is there to worry about? What is there to fear? ~ Confucius",,,
Every evening I turn my worries over to God. He's going to be up all night anyway.,,,
"Wanna fly, you got to give up the shit that weights you down.",,,
Troubles are a lot like people - they grow bigger if you nurse them.,,,
In the stress of modern life how little room is left for that most comfortable vanity that whispers in our ears that failures are not faults,,,
"Pressure is a word that is misused in our vocabulary. When you start thinking of pressure, it's because you've started to think of failure.",,,
"A pessimist is one who makes difficulties of his opportunities, and an optimist is one who makes opportunities of his difficulties.",,,
Stress is a designer ailment that many of the so-called afflicted suffer from with pride. ~ Janet Street-Porter #dailystressbuster #stress,,,
"A man who suffers or stresses before it is necessary, suffers more than is necessary. ~ Seneca #dailystressbuster #dsb #stress #suffer",,,
"If things go wrong, don't go with them. ~ Roger Babson #dailystressbuster #dsb #direction #rogerbabson #wrong #right",,,
If u r distressed by anything external d pain is not due d thing itself but ur estimate of it &amp; this u hv d power revoke at any moment,,,
He is able who thinks he is able. ~ Buddha #dailystressbuster #dsb #buddha,,,
There is no use worrying about things over w/c you have no control &amp; if you have control you can do something about them instead of worrying,,,
Don't hurry. Don't worry. You're only here for a short visit. So don't forget to stop and smell the roses. ~ Walter Hagen #hurry #worry,,,
Even death is not to be feared by one who has lived wisely. ~ Buddha #dailystressbuster #dsb #buddha #fear #death #wise #life #live #lived,,,
You can never worry your way to enlightenment. ~ Ed Northstrum #dailystressbuster #dsb #worry #enlightenment #ednorthstrum,,,
Every human being is the author of his own health or disease. ~ Buddha #dailystressbuster #dsb #buddha #health #disease #human #author,,,
"Don't worry about the horse being blind, just load the wagon. ~ John Madden #dailystressbuster #dsb #worry #future #destiny",,,
"Know well what leads you forward and what hold you back, and choose the path that leads to wisdom. #Buddha #dailystressbuster #dsb #Wisdom",,,
"If you can't sleep, then get up and do something instead of lying there worrying. It's the worry that gets you, not the lack of sleep.",,,
Stress is not what happens to us. It's our response to what happens. And response is something we can choose. #stress #dailystressbuster,,,
A journey of a thousand miles begins with but a single step. #dailystressbuster #dsb #journey,,,
The time to relax is when you don't have time for it. #dailystressbuster #time #relax #stress,,,
"If you treat every situation as a life and death matter, you'll die a lot of times. #dailystressbuster #life #death #problems",,,
"Stress is the trash of modern life - we all generate it but if you don't dispose of it properly, it will pile up and overtake your life.",,,
Don't sweat the small stuff... and it's all small stuff. ~ Richard Carlson #dailystressbuster,,,
Give your stress wings and let it fly away. #dailystressbuster #stress #fly,,,
"Drag your thoughts away from your troubles -- by the ears, by the heels, or any other way you can manage it. ~ Mark Twain #dsb #stress",,,
It is better to conquer yourself than to win a thousand battles. ~ Buddha #dailystressbuster #buddha #dsb,,,
The only thing you will ever accomplish by worrying is to elevate your stress levels. Catherine Pulsifer #dailystressbuster #worry #stress,,,
Let us be of good cheer remembering that the misfortunes hardest to bear are those which will never happen. #dailystressbuster #GOODTIMES,,,
Hatred does not cease through hatred at any time Hatred ceases through love This is the eternal rule ~ Buddha #dailystressbuster #buddha,,,
There cannot be a stressful crisis next week. My schedule is already full. ~ Henry Kissinger #dailystressbuster #stress #crisis #dsb,,,
Don't worry about the world coming to an end today. It's already tomorrow in Australia. ~ Charles Schultz #dailystressbuster #worry,,,
The key to winning is poise under stress. ~ Paul Brown #dailystressbuster #stress #poise #WIN #winning,,,
"If you don't mind, it don't matter. #dailystressbuster #worry #problems #stress",,,
"A pessimist is one who makes difficulties of his opportunities, and an optimist is one who makes opportunities of his difficulties. #dsb",,,
"What's the use of worrying? It never was worthwhile, so pack up your troubles in your old kit-bag, and smile, smile, smile. #worry #dsb",,,
In the middle of every difficulty lies opportunity. ~ Albert Einstein #dailystressbuster #alberteinstein #difficulty #opportunity #life,,,
I've chosen to treat my life more like a party than something to stress about. #dailystressbuster #martinshort #party #stress #life,,,
The reason why worry kills more people than work is that more people worry than work. #dailystressbuster #robertfrost #worry #work #stress,,,
"When it rains, I let it. #dailystressbuster #Stress #problem #rain",,,
He who smiles rather than rages is always the stronger. #dailystressbuster #smile #rage #strong #stress,,,
The problem of life is to change worry into thinking and anxiety into creative action. #dailystressbuster #problem #life #worry #anxiety,,,
"Worrying is like a rocking chair, it gives you something to do, but it gets you nowhere. #dailystressbuster #worry #stress #useless #dsb",,,
Anything that keeps you away from being yourself causes stress. ~ Maya Tatareva #dailystressbuster #stress,,,
"I never worry about action, but only inaction. ~ Winston Churchill #dailystressbuster #worry #wistonchurchill #inaction #action",,,
"If things go wrong, don't go with them. ~ Roger Babson #dailystressbuster #rogerbabson #wrong #different",,,
To understand everything is to forgive everything. ~ Buddha #dailystressbuster #buddha #forgiveness #understand #forgive,,,
A pleasure a day keeps stress away. ~ Ethel Roskies #dailystressbuster #pleasure #stress,,,
Sometimes the most important thing in a whole day is the rest we take between two deep breaths. #dailystressbuster #Stress,,,
"It is the little bits of things that fret and worry us; we can dodge an elephant, but we can't dodge a fly. #dailystressbuster #worry",,,
It takes a real storm in the average person's life to make him realize how much worrying he has done over the squalls. #dailystressbuster,,,
"My mother said, Don't worry about what people think now. Think about whether your children and grandchildren will think you've done well.",,,
Everyday quotes that gives practical advice to help relieve the daily stress we encounter in our lives. Add us!! #Stress #Quote,,,
People gather bundles of sticks to build bridges they never cross. #dailystressbuster #quote #bridge,,,
Peace comes from within. Do not seek it without. ~ Buddha #dailystressbuster #peace #buddha,,,
"As soon as we stop worrying, a solution pops up. #dailystressbuster #worry #solution #stress",,,
"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven. ~ John Milton #dailystressbuster #heaven #hell #dsb",,,
Happy Valentines Day to all my followers! Wishing you a stress free and loving day with your love ones!,,,
Worry is rust upon the blade. ~ Henry Ward Hughes #dailystressbuster #dsb #worry,,,
No one can make you feel inferior without your consent. ~ Eleanor Roosevelt #dailystressbuster #eleanorroosevelt #inferior #consent,,,
The best way to cheer yourself up is to try to cheer somebody else up. ~ Mark Twain #dailystressbuster #marktwain #cheer #happy,,,
Fashion your life as a garland of beautiful deeds. ~ Buddha #dailystressbuster #buddha #fashion #life,,,
"Worry &amp; stress affects the circulation, the heart, the glands, the whole nervous system &amp; profoundly affects heart action. #stress #heart",,,
All pressure is self-inflicted. It's what you make of it or how you let it rub off on you. #pressure #stress #dailystressbuster,,,
The greatest weapon against stress is our ability to choose one thought over another. #stress #dailystressbuster,,,
You've got to dance like nobody's watching and love like it is never going to hurt. #love #dance #hurt #dailystressbuster,,,
We often hear of people breaking down from overwork but in nine out of ten they are really suffering from worry or anxiety. #worry #anxiety,,,
Slow down and everything you are chasing will come around and catch you. ~ John De Paola #dailystressbuster #relax #slowdown,,,
Stress is not what happens to us. It's our response to what happens. And response is something we can choose. #dailystressbuster #stress,,,
"I try to take one day at a time, but sometimes several days attack me at once. ~ Jennifer Yane #dailystressbuster #coping #everyday",,,
What happens is not as important as how you react to what happens. ~ Thaddeus Golas #dailystressbuster #karma #thaddeusgolas,,,
"If there be no remedy, why worry? #dailystressbuster #worry #remedy",,,
#dailystressbuster,,,
Nothing ever exists entirely alone; everything is in relation to everything else. ~ Buddha #dailystressbuster #buddha #exist #alone #dsb,,,
Those who are free of resentful thoughts surely find peace. ~ Buddha #dailystressbuster #buddha #free #peace,,,
The way is not in the sky. The way is in the heart. ~ Buddha #dailystressbuster #buddha #heart #sky,,,
"It's not stress that kills us, it is our reaction to it. ~ Hans Selye #dailystressbuster #stress #dsb",,,
Worry is a cycle of inefficient thoughts whirling around a center of fear. ~ Corrie Ten Boom #dailystressbuster #worry #cycle #fear,,,
"If you see ten troubles coming down the road, you can be sure that nine will run into the ditch before they reach you. ~ Calvin Coolidge",,,
"If you can't sleep, then get up and do something instead of lying there worrying. It's the worry that gets you, not the lack of sleep.",,,
"You yourself, as much as anybody in the entire universe, deserve your love and affection. ~ Buddha #dailystressbuster #love #you #affection",,,
A day of worry is more exhausting than a week of work. ~ John Lubbock #worry #work #dailystressbuster,,,
"I was sad because I had no shoes, until I met a man who had no feet. #dailystressbuster #sad #realizations #dsb #shoes #feet",,,
